Favorite Name,Security Code
海運,9101
海運,9104
海運,9107
海運,9110
鉄鋼,5406
鉄鋼,5401
鉄鋼,5423
鉄鋼,5445
鉄鋼,5411
盛り返し銘柄,5411
盛り返し銘柄,4839
盛り返し銘柄,2492
盛り返し銘柄,4617
盛り返し銘柄,2491
盛り返し銘柄,7004
盛り返し銘柄,3289
GAFAM,GOOGL
GAFAM,AAPL
GAFAM,META
GAFAM,AMZN
GAFAM,MSFT
米国ハイテクグロース,ASAN
米国ハイテクグロース,U
米国ハイテクグロース,RBLX
米国ハイテクグロース,SHOP
米国ハイテクグロース,AI
米国ハイテクグロース,OKTA
所有株,4004
所有株,4436
所有株,4694
所有株,4816
所有株,6113
所有株,6201
所有株,7974
所有株,8267
高配当銘柄,1820
高配当銘柄,4310
日本ETF,1617
日本ETF,1618
日本ETF,1619
日本ETF,1620
日本ETF,1621
日本ETF,1622
日本ETF,1623
日本ETF,1624
日本ETF,1625
日本ETF,1626
日本ETF,1627
日本ETF,1628
日本ETF,1629
日本ETF,1630
日本ETF,1631
日本ETF,1632
日本ETF,1633
検討中,8194
検討中,4432
検討中,4478
検討中,2413
検討中,4203
検討中,2175
